Total steps,Calories,Min Light Active,Min Fair Active,Min Very Active
6877,2898,258,0,0
7860,2984,271,0,0
6506,2896,256,8,1
11140,3328,335,24,3
12692,3394,302,66,12
9105,3013,191,30,22
6708,2812,179,8,10
8793,3061,260,29,2
6530,2729,144,41,4
1664,2241,72,0,0
15126,3691,408,66,9
15050,3538,281,95,15
9167,3064,270,15,6
6108,2784,216,8,1
7047,2908,238,16,1
9023,3033,232,9,14
9930,3165,267,19,12
10144,3115,263,36,4
7245,2859,195,40,5
9454,3145,313,0,0
8161,3004,251,15,4
8614,3006,241,5,8
6943,2859,207,16,1
14370,3683,439,46,5
12857,3287,192,125,9
8232,2990,253,12,0
9810,3069,235,41,10
2752,1240,68,0,0
12409,2142,235,12,51
2937,1615,181,0,0
1515,1481,93,0,0
8921,1892,198,8,27
11306,2086,218,26,40
12252,2044,229,28,33
15444,2249,243,39,51
9938,2019,193,24,38
4599,1692,176,0,0
5594,1712,150,25,4
11906,2065,234,27,32
3436,633,50,11,7
11596,2026,277,13,19
4832,1718,226,0,0
17022,2324,256,41,61
16556,2254,239,38,58
5771,1831,288,0,0
655,1397,46,0,0
3727,1683,206,0,0
15482,2284,249,28,69
2713,1570,148,0,0
12346,2066,177,42,47
11682,2105,270,16,25
4112,1776,272,0,0
1807,1507,104,0,0
10946,2033,201,11,51
11886,2093,238,18,40
10538,1922,206,16,16
11393,1999,165,13,49
12764,2169,270,15,46
1202,1463,84,0,0
5164,1747,237,0,0
9769,1996,227,9,23
12848,2116,247,29,26
4249,1698,224,0,0
14331,2156,241,29,44
9632,1916,229,9,21
1868,1494,96,0,0
6083,1762,210,8,3
16358,2335,265,40,61
4926,1693,195,0,0
3121,741,48,6,8
10461,3625,142,31,99
14873,4430,153,36,202
9917,3427,240,27,58
7401,3492,204,19,70
8964,3597,145,18,107
11080,3765,190,52,83
4499,2775,146,11,31
4363,2486,156,2,8
10494,3817,138,62,123
9776,3378,162,35,80
2862,1511,54,17,39
8135,3405,140,16,86
5077,2551,144,11,15
8596,4022,176,30,118
12087,4005,199,54,115
14269,4274,158,56,184
12231,4552,159,37,200
9893,3625,130,32,114
12574,3501,111,23,108
8330,3192,113,16,87
10830,4018,175,74,110
9172,3329,200,30,62
7638,3152,223,24,24
15764,4392,141,65,210
6393,3374,214,38,61
5325,3088,181,32,38
6805,3294,190,16,63
9841,3580,141,51,99
7924,3544,165,36,97
12363,4501,163,45,207
13368,4546,178,72,194
7439,3014,235,20,37
11045,3795,212,8,97
5206,2755,141,9,25
7550,3004,143,21,45
4950,2643,79,16,41
0,1819,0,0,0
0,1819,0,0,0
3421,2489,70,11,34
4038,1665,63,15,45
7444,2210,286,0,0
19658,2884,475,30,3
0,1496,0,0,0
8468,2262,279,11,2
9910,2445,384,0,0
12409,2694,491,0,0
4853,1903,156,0,0
8955,2482,422,0,0
10789,2617,506,0,0
0,0,0,0,0
0,1496,0,0,0
0,1496,0,0,0
0,1496,0,0,0
14019,2865,513,6,0
14450,2828,518,15,7
7150,2225,312,0,0
5153,2018,241,0,0
11135,2606,480,0,0
10449,2536,349,10,26
19542,4900,294,19,11
8206,2409,402,0,0
11495,2651,512,0,0
7623,2305,362,0,0
0,1497,0,0,0
9543,2450,352,7,0
9411,2576,458,0,0
3403,1879,141,0,0
9592,2560,461,0,0
6987,2275,343,0,0
8915,2361,397,0,0
4933,2044,236,0,0
0,1496,0,0,0
2997,1902,156,0,0
9799,2636,487,0,0
3365,1838,133,0,0
7336,2469,412,0,0
4477,1248,197,0,0
6633,2778,280,0,0
9548,3119,113,107,25
0,2664,0,0,33
0,2060,0,0,0
0,2060,0,0,0
0,2060,0,0,0
0,2060,0,0,0
0,2060,0,0,0
0,2060,0,0,0
0,735,0,0,20
4562,2560,199,0,0
7142,2905,350,0,0
7671,2952,363,0,0
9501,2896,328,0,0
8301,2783,258,0,0
7851,3171,225,12,31
6885,2766,271,0,0
7142,2839,321,0,0
6361,2701,258,0,0
0,2060,0,0,0
6238,2796,302,0,0
0,2664,0,0,33
5896,2703,258,0,0
7802,2771,249,3,8
0,2060,0,0,0
5565,2743,287,0,0
5731,2687,255,0,0
0,2060,0,0,0
6744,2843,324,0,0
9837,3327,282,95,8
6781,2725,268,0,0
6047,2671,240,0,0
5832,2718,272,0,0
6339,2682,239,0,0
6116,2806,305,0,0
5510,2613,227,0,0
6277,2175,264,0,0
0,0,0,0,0
7225,3065,163,50,25
1988,2207,79,0,0
1577,1977,8,17,1
0,1841,0,0,0
9348,4286,240,133,56
11761,3920,300,99,24
13987,3856,250,114,46
4131,2584,75,30,27
14,787,1,0,0
0,1841,0,0,0
4053,2400,85,18,17
5162,2507,105,24,14
1282,2127,58,0,0
4732,2225,9,18,36
2497,2067,19,24,5
8294,2798,146,31,30
0,1841,0,0,0
10771,3727,178,113,70
0,1841,0,0,0
637,1922,20,0,0
0,1841,0,0,0
2153,2053,11,18,11
6474,2484,92,13,33
7091,2584,47,30,42
